,intent,example
0,thanks,بسیار ممنونم
1,thanks,تشکر می‌کنم
2,thanks,قدردانی می‌کنم
3,thanks,متشکرم
4,thanks,از شما سپاسگزارم
5,thanks,بابت تلاش‌های شما متشکرم
6,thanks,سپاس
7,thanks,تشکر می‌کنم از زحمات شما
8,thanks,از کمک شما متشکرم
9,thanks,ممنون از همکاری شما
10,thanks,سپاس از پیگیری شما
11,thanks,بسیار سپاسگزارم
12,thanks,بسیار ممنونم از همکاری شما
13,thanks,سپاسگزار تلاش‌های شما هستم
14,thanks,قدردان زحمات شما هستم
15,thanks,ممنون از کمک شما
16,thanks,تشکر بابت همراهی شما
17,thanks,بسیار سپاسگزار تلاش‌های شما هستم
18,thanks,از همکاری شما متشکرم
19,thanks,تشکر از حسن توجه شما
20,thanks,از پیگیری‌های شما ممنونم
21,thanks,از زحمات شما سپاسگزارم
22,thanks,بابت مساعدت شما ممنونم
23,thanks,تشکر فراوان از شما دارم
24,thanks,بابت همکاری شما سپاسگزارم
25,thanks,تشکر می‌کنم از مساعدت شما
26,thanks,سپاس بابت همراهی شما
27,thanks,از لطف شما متشکرم
28,thanks,بسیار قدردان همکاری شما هستم
29,thanks,تشکر می‌کنم از پیگیری شما
30,thanks,از شما بسیار سپاسگزارم
31,thanks,دستت درد نکنه
32,thanks,مرسی
33,thanks,واقعاً ممنون
34,thanks,خسته نباشی
35,thanks,مرسی از زحماتت
36,thanks,خیلی کمک کردی
37,thanks,خیلی قدردانم
38,thanks,لطف کردی
39,thanks,ممنون که زحمت کشیدی
40,thanks,از کمکت خیلی ممنونم
41,thanks,واقعاً سپاسگزارم
42,thanks,مرسی بابت پیگیریت
43,thanks,خیلی متشکرم
44,thanks,ممنون از محبتت
45,thanks,مرسی که هستی
46,thanks,ممنون بابت توجهت
47,thanks,خیلی لطف کردی، مرسی
48,thanks,خیلی ممنون از زحمتت
49,thanks,مرسی از همکاری‌ت
50,thanks,ممنون که کمک کردی
51,thanks,مرسی، خیلی لطف کردی
52,thanks,خیلی سپاسگزارم
53,thanks,واقعاً ممنون از وقتی که گذاشتی
54,thanks,خیلی چاکرتم
55,thanks,خیلی ممنون که کمکم کردی
56,thanks,سپاس از زحماتت
57,thanks,خیلی متشکرم از کمکت
58,thanks,تشکر
59,thanks,سپاسگزارم
60,thanks,خیلی ممنون
61,thanks,ممنون از کمکتون
62,thanks,تشکر می‌کنم
63,thanks,تشکر فراوان
64,thanks,ممنون بابت زحماتتون
65,thanks,سپاس
66,thanks,قدردانی می‌کنم
