Token,Frequency
و,1086881
در,1046446
به,816101
از,723560
می,489551
را,463142
که,410453
است,392976
برای,309631
این,305417
با,275447
چه,273346
های,184878
کنم,169509
آیا,153329
آن,151930
یک,149003
رده,141854
باید,130189
دارد,125173
من,120887
چگونه,120752
سال,114832
استفاده,108799
ها,107191
شده,103439
توانم,95893
کرد,95700
خود,94562
رو,94054
بر,92278
نام,84930
ایران,84598
شود,84069
تا,81505
منابع,81431
وجود,74850
بود,74670
شد,72559
یا,70906
او,70160
چطور,69875
انجام,65729
کنید,64900
تهران,64488
صورت,61041
کار,59885
چیست,59532
اطلاعات,58797
طرح,57410
لطفا,56417
داده,56155
حساب,55554
توانید,53432
ثبت,53195
توان,51160
می‌شود,50251
روی,47962
بخش,47936
تاریخ,47329
قرار,47182
ای,46132
نیز,45922
دیتابیس,45889
پس,45397
پلاک,45317
شهر,45309
سیستم,45252
باشد,44938
شهرستان,43656
سیارک,43029
دو,41673
هر,41082
سرور,40662
مورد,40631
کند,40445
شما,39591
سرویس,39297
عنوان,38433
دیگر,38141
هم,37948
یکی,37096
خطای,36851
چرا,36321
تغییر,36079
روز,35923
امکان,35790
استان,35486
راه,35440
ی,35283
مدیریت,35040
دهید,35020
چقدر,34194
ایجاد,33893
نوع,33823
هایی,33439
زمان,32987
ملی,32053
سهمیه,32002
اپلیکیشن,31840
نیاز,31733
دسترسی,30965
خودرو,30529
بیرون,30287
تونم,30230
زبان,30132
وی,29987
کجا,29610
ملک,29609
هستند,29554
پیوند,29486
پیش,29404
ام,29360
سازی,29243
Kubernetes,29190
توضیح,29121
هزینه,28792
بسته,28560
کردن,28470
دانشگاه,28377
روش,28360
میلادی,28224
کرده,28145
پرداخت,27834
جدید,27692
شماره,27535
چند,27122
توسط,26952
پیگیری,26703
بین,26444
مطلق,26384
Server,26340
دهم,26220
فعالیت,25825
داشته,25823
آنها,25592
هست,25574
نفر,25495
پروانه,25416
Cloud,25360
کارت,25212
کشور,25087
بعد,25065
جمعیت,24228
برابر,24216
میشه,24080
نظر,23735
آمریکا,23578
اما,23426
موجودی,23377
اگر,23331
مجازی,23270
وارد,23205
می‌باشد,23104
نمی,23020
بگویید,23020
می‌کند,22945
دست,22919
وضعیت,22884
دارند,22778
کد,22699
کدام,22650
نصب,22616
ماشین,22605
شهروندی,22463
اصلی,22370
کوچک,22211
اعلام,22156
تو,22061
مربوط,22053
داد,21844
رزرو,21787
بوده,21693
شبکه,21689
لازم,21646
نحوه,21639
کاربری,21453
فیلم,21434
دارای,21154
ابری,21146
محمد,21072
ارائه,21057
شده‌است,20970
کتاب,20943
ذخیره,20842
سامانه,20764
انتخاب,20731
دریافت,20565
ترافیک,20533
بررسی,20471
سایت,20409
ابریمنت,20140
محدوده,20132
همچنین,20098
خدمات,20090
گزارش,20060
نیست,20032
مراحل,19596
مشکل,19499
ساخت,19468
فنی,19357
پارک,19346
بزرگ,19284
سه,19261
بگیرم,19043
بار,18896
سپتامبر,18826
کنیم,18771
Ubuntu,18690
دهستان,18658
مرکز,18578
کمک,18574
نرم,18551
دارم,18318
حال,18283
اول,18203
چیه,18149
بیشتر,18040
شرکت,18016
مانند,17936
اسلامی,17933
زندگی,17922
مرکزی,17896
داشت,17851
منبع,17802
شامل,17685
کنترل,17671
درخواست,17622
خواستم,17601
تعداد,17477
زمانی,17456
آب,17424
پیدا,17377
دلیل,17329
مختلف,17312
حذف,17163
برنامه,17157
واقع,17117
اندازی,17080
ولی,16985
وابسته,16970
قسمت,16960
طریق,16948
چقدره,16940
طور,16926
فارسی,16811
مردم,16741
مشاهده,16737
بدهی,16690
پول,16647
گروه,16585
معاینه,16464
پشتیبانی,16131
دهد,16127
شدن,15993
میزان,15801
اجرام,15755
تصویر,15734
بدون,15716
چاپ,15646
بسیار,15636
اهل,15623
بهره,15589
روستاهای,15586
ناسا,15585
چی,15530
عوارض,15526
بازیابی‌شده,15406
داره,15397
فهرست,15180
پایگاه,15151
دادگان,15129
سازمان,15117
سیارک‌ها,15116
دوم,15078
تماس,15068
موجود,15020
بکاپ,15010
صندوقچه,15003
گرفته,14991
درباره,14973
ادامه,14824
زیر,14817
جنگ,14804
وب,14786
اعتبار,14763
جهت,14735
همراه,14725
رسیدگی,14700
قابل,14683
کنند,14670
تردد,14658
جعبه,14534
دوره,14534
انگلیسی,14519
مدت,14437
نقش,14436
تنظیم,14420
دیگه,14411
اطلاعاتی,14383
میان,14360
افزایش,14337
منطقه,14307
موسیقی,14302
قدر,14231
بله,14200
توسعه,14199
ارسال,14164
پرونده,14096
ایرانی,14084
می‌کنند,14064
بدانم,14049
اینکه,13947
خوام,13930
هوا,13899
شکل,13832
چون,13824
شکایت,13736
عمومی,13706
هنگام,13658
علی,13600
دیسک,13544
برخی,13524
عدد,13513
MySQL,13430
نسخه,13376
بلیت,13354
بی,13335
آثار,13274
بن,13266
آمار,13161
جهان,13093
بودند,13061
Linux,13010
اولین,12954
جستارهای,12919
آلودگی,12901
عدم,12881
مرگ,12867
مشکلات,12865
جمهوری,12859
ممکن,12821
رسمی,12761
نشان,12761
مقدار,12758
Rocky,12750
طی,12746
همه,12732
شهرداری,12707
تحت,12635
ماه,12626
ورود,12502
مراحلی,12447
خواهد,12432
آغاز,12347
مانده,12323
بازی,12275
خاصی,12258
بدم,12256
ترافیکی,12145
شارژ,12143
بفرمایید,12130
تواند,12122
گرفت,12086
باقی,12079
همین,12028
صدور,11985
غیر,11967
مجموعه,11962
اثر,11910
تعریف,11889
تنها,11882
تولید,11870
ما,11855
محل,11804
فصلی,11790
روستا,11782
راهنمایی,11715
جنوب,11680
شرقی,11663
تمام,11626
می‌توان,11557
شوند,11551
غربی,11541
شاه,11521
دولت,11499
حدود,11435
ببینم,11417
تشکیل,11395
علت,11390
قبل,11364
پیام,11342
kubectl,11300
اقدام,11242
اساس,11160
چیکار,11160
بهترین,11152
توجه,11075
ERROR,11070
فوتبال,11049
روستای,11036
می‌شوند,11035
نه,11006
ویژگی,10951
بسیاری,10942
قابلیت,10928
فایل,10923
کاری,10901
آذربایجان,10897
كه,10870
عامل,10866
نمود,10861
جمله,10813
اشتغال,10752
بیش,10748
حسابم,10700
شمال,10696
سیاسی,10685
عبور,10677
دوباره,10640
مصرف,10608
تعرفه,10573
یعنی,10540
وب‌گاه,10535
قبض,10535
سپس,10531
باربرگ,10500
خاص,10480
دیگری,10392
دوران,10376
یافت,10315
مناسب,10251
افراد,10235
لاگ,10154
صفحه,10095
اتصال,10094
ساخته,10038
بگو,10014
سلام,10008
حزب,9994
زمین,9980
حل,9883
باعث,9875
سطح,9865
کامل,9823
سر,9772
تفصیلی,9704
خواهم,9649
پایان,9627
باز,9612
هزار,9570
جهانی,9565
خط,9562
صادر,9504
اضافه,9489
می‌دهد,9478
مشخص,9471
تیکت,9470
رمز,9441
Windows,9400
بگی,9396
تایید,9393
اشاره,9391
شهرهای,9366
زمینه,9329
اند,9325
شخصی,9317
محاسبه,9314
طول,9254
Container,9220
نمایش,9193
چطوری,9168
زادگان,9156
اين,9144
انقلاب,9112
حالت,9054
کاربران,9019
فرهنگ,9009
بندی,8980
دی,8969
عمل,8957
تیم,8937
درگاه,8900
کم,8892
ندارد,8871
طراحی,8863
کن,8861
امنیت,8844
عملکرد,8819
خطا,8814
کردند,8798
نشده,8798
ORA,8750
فرآیند,8729
تفاوت,8694
متر,8681
خانه,8672
زیادی,8671
روزهای,8665
تاریخی,8645
همان,8645
علوم,8644
طریقی,8643
جایزه,8629
فعال,8595
اقداماتی,8591
شدند,8547
شوم,8541
نوسازی,8536
تونی,8512
ارتباط,8507
بدونم,8500
تنظیمات,8477
گزینه,8468
گیری,8456
اجرا,8400
نسبت,8394
باشند,8389
نتیجه,8352
فراهم,8334
هیچ,8333
فرانسه,8297
متحده,8295
نوشته,8285
درست,8283
درصد,8278
معروف,8268
تهیه,8258
علمی,8247
پیکربندی,8233
مجاز,8229
گفته,8221
نخستین,8218
سید,8216
عربی,8184
شه,8180
محیط,8099
نمایید,8093
آزاد,8080
آخرین,8063
هجری,8036
مهم,8029
دکتر,7972
ساختمان,7937
فرهنگی,7936
مجلس,7860
سی,7849
ایالات,7831
احمد,7828
مرحله,7826
کنی,7818
جزئیات,7813
ص,7811
توابع,7805
تراکنش,7772
اجرای,7770
بالا,7766
ایمیج,7760
کاربر,7754
قرن,7736
وقتی,7707
اطلاع,7703
اسلام,7702
CentOS,7690
فقط,7680
سوم,7675
چهار,7673
نویسنده,7671
بوده‌است,7667
بودن,7645
حاضر,7645
مبلغ,7640
جدول,7630
تبدیل,7629
پر,7621
جوایز,7613
جای,7589
شروع,7522
PostgreSQL,7500
باشم,7485
منظور,7480
ابزارهای,7468
داخل,7466
یه,7460
رود,7452
زنان,7402
تولد,7391
داستان,7373
روزنامه,7335
Debian,7320
پانویس,7318
عملیات,7311
mysql,7270
رشته,7266
Fedora,7260
شرح,7252
خارج,7251
سمت,7228
پروژه,7225
چجوری,7220
توزیع,7211
انتشارات,7210
بیشتری,7210
برد,7209
آلمان,7207
ترین,7177
بیان,7176
مراجعه,7160
آموزش,7124
ترجمه,7122
فضای,7115
حکومت,7105
کسب,7103
انتشار,7064
سوخت,7061
سایر,7053
تر,7034
سوی,7031
حاشیه,7028
حسین,7020
ابزار,7020
بیست,7016
فایروال,7016
رئیس,7008
انتقال,7006
اهالی,7005
کیلومتر,6996
اولیه,6995
کاهش,6986
مترو,6984
شرایط,6983
مسجد,6975
قانون,6964
موضوع,6960
حقوق,6943
هنوز,6940
جنوبی,6937
می‌تواند,6933
اعضای,6932
Redis,6930
تعیین,6929
آمد,6920
کنار,6915
گذشته,6906
منتشر,6878
شورای,6877
آمده,6870
موردنظر,6855
الله,6852
شهری,6852
انواع,6851
متصل,6850
کسر,6824
وقت,6779
اندازه,6715
خان,6702
افزاری,6679
سرشماری,6665
آلبوم,6664
قلعه,6626
محدود,6626
دامنه,6626
مسئول,6625
معنی,6616
اینترنتی,6616
درگذشتگان,6613
روستایی,6598
آن‌ها,6596
خانواده,6590
درجه,6581
می‌شد,6569
شناسایی,6566
کل,6552
کسی,6551
کلاینت,6550
پسماند,6542
بازیگر,6501
وجه,6487
ابتدا,6485
تامین,6484
تقسیم,6483
دور,6476
داخلی,6459
فرد,6452
pfSense,6450
رنگ,6433
فصل,6431
کلید,6431
منیفست,6420
مدارک,6405
بکنم,6379
شیخ,6372
دهستان‌های,6352
هشتاد,6340
زن,6321
باشگاه,6316
دارید,6309
هشت,6307
رجیستری,6307
ساعت,6293
خارجی,6247
شدم,6244
MongoDB,6230
چنین,6210
رسید,6194
نیروهای,6185
دقیق,6184
گردید,6178
غرب,6164
تحلیل,6159
نقشه,6139
کوه,6138
اروپا,6136
مواجه,6124
خودکار,6112
خبرنگاری,6082
مالی,6080
عراق,6070
موارد,6068
خدمت,6065
شمالی,6063
کاربرد,6053
مناطق,6051
دنبال,6028
اجتماعی,6025
شهرسازی,6023
هنر,6006
خانوار,6005
شناخته,6001
کشورهای,5999
انسان,5998
آمریکایی,5994
جلوگیری,5982
پسر,5977
حسن,5956
قیمت,5952
امام,5949
راهی,5944
خورشیدی,5941
دستگاه,5939
کردم,5936
مانیتورینگ,5916
ویژه,5914
کننده,5913
گرفتن,5912
بازدید,5881
حتی,5881
آنجا,5874
اعمال,5856
نیروی,5838
جریان,5834
پی,5828
دنیا,5826
چندین,5825
دادن,5824
دستور,5823
عضو,5819
وزارت,5809
نظامی,5800
number,5800
بارگذاری,5794
خیابان,5792
قدیمی,5787
کلی,5786
واحد,5782
تقویم,5781
رفع,5781
معرفی,5774
آنان,5773
سرعت,5773
جان,5770
کنندگان,5766
بنا,5754
کیف,5746
گونه,5740
معابر,5731
دهه,5720
پذیر,5712
آورد,5706
مرتبط,5704
آباد,5696
جمع,5695
خودروی,5690
افغانستان,5686
تب,5685
